Bad Samaritan,6.4,110 min,Dean Devlin,"3,435,047",(2018)
Blockers,6.2,102 min,Kay Cannon,"59,839,515",(2018)
Avengers: Infinity War,8.5,149 min,Anthony Russo,"678,815,482",(2018)
Rampage,6.1,107 min,Brad Peyton,"101,028,233",(2018)
I Feel Pretty,5.5,110 min,Abby Kohn,"48,795,601",(2018)
Isle of Dogs,7.9,101 min,Wes Anderson,"32,015,231",(2018)
A Quiet Place,7.5,90 min,John Krasinski,"188,024,361",(2018)
"Love, Simon",7.6,110 min,Greg Berlanti,"40,826,341",(2018)
Jumanji: Welcome to the Jungle,6.9,119 min,Jake Kasdan,"404,515,480",(2017)
Black Panther,7.3,134 min,Ryan Coogler,"700,059,566",(2018)
Insidious: The Last Key,5.7,103 min,Adam Robitel,"67,745,330",(2018)
The Greatest Showman,7.6,105 min,Michael Gracey,"174,340,174",(2017)
Star Wars: Episode VIII - The Last Jedi,7,152 min,Rian Johnson,"620,181,382",(2017)
The Miracle Season,6.5,101 min,Sean McNamara,"10,225,770",(2018)
Blumhouse's Truth or Dare,5.1,100 min,Jeff Wadlow,"41,411,015",(I) (2018)
Super Troopers 2,6.1,99 min,Jay Chandrasekhar,"30,617,396",(2018)
Life of the Party,5.6,105 min,Ben Falcone,"52,856,061",(I) (2018)
Show Dogs,3.6,92 min,Raja Gosnell,"17,744,685",(2018)
Deadpool 2,7.7,119 min,David Leitch,"324,591,735",(2018)
Solo: A Star Wars Story,6.9,135 min,Ron Howard,"213,767,512",(2018)
Action Point,5.1,85 min,Tim Kirkby,"5,059,608",(2018)
Jurassic World: Fallen Kingdom,6.2,128 min,J.A. Bayona,"417,719,760",(2018)
Incredibles 2,7.7,118 min,Brad Bird,"608,581,744",(2018)
The First Purge,5.1,98 min,Gerard McMurray,"69,488,745",(2018)
Sorry to Bother You,6.9,112 min,Boots Riley,"17,493,096",(2018)
Unfriended: Dark Web,5.9,92 min,Stephen Susco,"8,783,985",(2018)
Death of a Nation,4.6,108 min,Dinesh D'Souza,"5,885,881",(2018)
Christopher Robin,7.3,104 min,Marc Forster,"99,215,042",(2018)
The Happytime Murders,5.4,91 min,Brian Henson,"20,706,452",(2018)
Searching,7.6,102 min,Aneesh Chaganty,"26,020,957",(III) (2018)
A Simple Favor,6.8,117 min,Paul Feig,"53,548,586",(2018)
A Star Is Born,7.7,136 min,Bradley Cooper,"215,288,866",(2018)
BlacKkKlansman,7.5,135 min,Spike Lee,"48,686,605",(2018)
The Hate U Give,7.4,133 min,George Tillman Jr.,"29,719,483",(2018)
Halloween,6.6,106 min,David Gordon Green,"159,342,015",(I) (2018)
Smallfoot,6.6,96 min,Karey Kirkpatrick,"83,240,103",(2018)
Beautiful Boy,7.3,120 min,Felix van Groeningen,"7,649,973",(I) (2018)
Bohemian Rhapsody,8,134 min,Bryan Singer,"216,428,042",(2018)
Fantastic Beasts: The Crimes of Grindelwald,6.6,134 min,David Yates,"159,555,901",(2018)
Green Book,8.2,130 min,Peter Farrelly,"85,080,171",(2018)
Spider-Man: Into the Spider-Verse,8.4,117 min,Bob Persichetti,"190,241,310",(2018)
Aquaman,7,143 min,James Wan,"335,061,807",(2018)
Black Mirror: Bandersnatch,7.2,90 min,David Slade,"30,573,626",(2018 TV Movie)
Holmes & Watson,3.8,90 min,Etan Cohen,"10,763,520",(2018)
